neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,room_type_n
Manhattan,Entire home/apt,250,2,8,3.69,1
Manhattan,Entire home/apt,200,2,117,3.24,1
Brooklyn,Private room,60,3,2,0.1,0
Queens,Private room,46,2,31,1.92,0
Manhattan,Private room,225,2,0,0.0,0
Manhattan,Entire home/apt,279,5,3,0.1,1
Manhattan,Private room,140,1,7,3.75,0
Manhattan,Private room,110,1,166,6.37,0
Brooklyn,Private room,100,3,0,0.0,0
Manhattan,Private room,65,4,29,2.29,0
Brooklyn,Private room,85,1,14,0.3,0
Queens,Private room,50,6,17,0.34,0
Manhattan,Entire home/apt,200,1,15,0.69,1
Brooklyn,Private room,75,1,55,1.46,0
Manhattan,Private room,55,2,17,1.35,0
Bronx,Entire home/apt,60,4,2,2.0,1
Queens,Entire home/apt,115,3,14,0.99,1
Brooklyn,Entire home/apt,100,7,0,0.0,1
Brooklyn,Private room,79,7,1,0.77,0
Manhattan,Private room,200,2,62,1.06,0
Queens,Private room,101,1,0,0.0,0
Brooklyn,Entire home/apt,200,1,63,2.29,1
Brooklyn,Private room,63,2,0,0.0,0
Brooklyn,Private room,149,1,1,0.08,0
Brooklyn,Private room,120,2,2,1.58,0
Bronx,Private room,47,2,75,1.27,0
Brooklyn,Private room,60,7,0,0.0,0
Brooklyn,Private room,40,3,2,0.06,0
Manhattan,Entire home/apt,220,3,78,3.26,1
Manhattan,Private room,60,2,60,1.79,0
Manhattan,Private room,100,2,16,4.57,0
Manhattan,Entire home/apt,129,2,179,2.99,1
Queens,Entire home/apt,145,3,0,0.0,1
Queens,Private room,35,5,7,0.19,0
Brooklyn,Entire home/apt,100,1,14,0.38,1
Manhattan,Entire home/apt,130,2,0,0.0,1
Brooklyn,Entire home/apt,72,6,0,0.0,1
Manhattan,Private room,74,2,3,0.08,0
Staten Island,Entire home/apt,68,2,8,5.33,1
Brooklyn,Entire home/apt,105,2,22,0.87,1
Manhattan,Private room,60,1,101,4.13,0
Brooklyn,Private room,49,2,44,4.43,0
Manhattan,Entire home/apt,195,1,1,0.02,1
Brooklyn,Private room,52,2,1,0.02,0
Brooklyn,Private room,59,1,1,0.03,0
Brooklyn,Private room,50,5,1,0.06,0
Manhattan,Private room,105,4,0,0.0,0
Brooklyn,Entire home/apt,120,7,23,0.41,1
Manhattan,Private room,90,4,3,0.05,0
Manhattan,Private room,55,2,1,0.05,0
Brooklyn,Private room,55,1,31,2.82,0
Manhattan,Entire home/apt,300,2,7,0.21,1
Manhattan,Entire home/apt,250,1,1,0.02,1
Manhattan,Entire home/apt,275,2,1,0.05,1
Brooklyn,Private room,75,1,113,2.33,0
Manhattan,Private room,55,7,24,0.54,0
Manhattan,Entire home/apt,300,2,13,2.57,1
Brooklyn,Private room,47,3,19,2.38,0
Manhattan,Entire home/apt,300,3,24,1.76,1
Brooklyn,Private room,75,3,3,0.11,0
Brooklyn,Entire home/apt,130,2,34,3.34,1
Manhattan,Private room,120,1,0,0.0,0
Brooklyn,Private room,45,10,0,0.0,0
Manhattan,Entire home/apt,199,3,10,0.7,1
Manhattan,Private room,89,1,44,5.59,0
Manhattan,Private room,89,3,21,0.91,0
Manhattan,Private room,146,2,26,0.6,0
Manhattan,Entire home/apt,250,3,13,0.94,1
Manhattan,Entire home/apt,180,5,1,0.05,1
Brooklyn,Shared room,35,2,1,0.16,2
Queens,Entire home/apt,120,2,5,0.19,1
Manhattan,Private room,195,1,0,0.0,0
Manhattan,Entire home/apt,108,2,6,0.62,1
Brooklyn,Entire home/apt,175,5,1,0.16,1
Manhattan,Private room,55,1,0,0.0,0
Bronx,Entire home/apt,150,5,58,1.45,1
Brooklyn,Entire home/apt,132,1,1,0.02,1
Brooklyn,Entire home/apt,150,3,73,1.34,1
Manhattan,Private room,50,2,1,1.0,0
Brooklyn,Private room,40,5,0,0.0,0
Manhattan,Entire home/apt,159,8,33,1.21,1
Brooklyn,Private room,52,2,29,0.5,0
Brooklyn,Private room,75,1,0,0.0,0
Brooklyn,Private room,46,2,71,2.69,0
Brooklyn,Private room,70,3,16,0.49,0
Brooklyn,Entire home/apt,102,1,10,0.18,1
Manhattan,Private room,65,2,2,0.05,0
Manhattan,Private room,40,6,5,0.12,0
Manhattan,Entire home/apt,195,4,31,0.46,1
Brooklyn,Entire home/apt,145,5,171,2.75,1
Brooklyn,Private room,150,2,61,2.36,0
Manhattan,Entire home/apt,160,2,6,0.1,1
Manhattan,Entire home/apt,92,4,179,3.14,1
Brooklyn,Private room,46,3,7,0.4,0
Manhattan,Private room,65,1,1,0.04,0
Queens,Entire home/apt,119,3,2,0.05,1
Brooklyn,Entire home/apt,295,7,0,0.0,1
Brooklyn,Private room,70,4,0,0.0,0
Queens,Private room,34,3,1,0.03,0
Manhattan,Private room,75,1,99,3.47,0
Brooklyn,Private room,212,3,1,0.33,0
Manhattan,Private room,78,3,88,3.36,0
Queens,Entire home/apt,110,5,0,0.0,1
Manhattan,Entire home/apt,180,2,4,2.4,1
Queens,Entire home/apt,100,1,12,2.29,1
Brooklyn,Entire home/apt,190,3,51,0.57,1
Manhattan,Entire home/apt,100,7,0,0.0,1
Manhattan,Entire home/apt,180,2,10,1.22,1
Brooklyn,Private room,59,2,10,0.62,0
Manhattan,Entire home/apt,145,7,0,0.0,1
Manhattan,Entire home/apt,110,6,5,0.13,1
Brooklyn,Entire home/apt,170,2,127,2.9,1
Brooklyn,Private room,200,2,0,0.0,0
Brooklyn,Entire home/apt,119,2,46,3.85,1
Manhattan,Private room,105,1,19,6.71,0
Brooklyn,Entire home/apt,110,1,1,1.0,1
Brooklyn,Private room,58,1,5,0.13,0
Queens,Private room,50,1,12,0.63,0
Manhattan,Entire home/apt,165,3,4,0.18,1
Queens,Private room,60,1,22,2.16,0
Brooklyn,Shared room,60,1,2,0.17,2
Brooklyn,Private room,39,3,0,0.0,0
Manhattan,Entire home/apt,200,2,20,0.48,1
Manhattan,Entire home/apt,113,1,20,3.85,1
Brooklyn,Entire home/apt,119,1,7,0.16,1
Brooklyn,Private room,30,3,0,0.0,0
Brooklyn,Entire home/apt,275,2,0,0.0,1
Manhattan,Entire home/apt,150,2,17,0.45,1
Brooklyn,Private room,54,4,4,0.06,0
Brooklyn,Private room,45,1,3,0.08,0
Manhattan,Entire home/apt,249,1,1,0.03,1
Brooklyn,Entire home/apt,85,7,11,0.64,1
Brooklyn,Private room,67,2,23,1.03,0
Manhattan,Private room,99,2,21,0.36,0
Manhattan,Private room,200,1,0,0.0,0
Manhattan,Entire home/apt,159,2,3,0.31,1
Brooklyn,Entire home/apt,102,10,0,0.0,1
Brooklyn,Entire home/apt,130,3,97,1.95,1
Manhattan,Entire home/apt,260,4,15,0.35,1
Brooklyn,Private room,63,7,1,0.02,0
Brooklyn,Entire home/apt,90,1,81,3.5,1
Manhattan,Private room,98,1,1,0.02,0
Manhattan,Entire home/apt,160,2,79,1.38,1
Manhattan,Entire home/apt,185,2,1,0.03,1
Manhattan,Entire home/apt,225,1,0,0.0,1
Manhattan,Entire home/apt,168,3,2,1.13,1
Brooklyn,Private room,75,1,0,0.0,0
Brooklyn,Private room,138,1,1,0.14,0
Manhattan,Private room,95,4,0,0.0,0
Manhattan,Entire home/apt,125,2,17,1.76,1
Brooklyn,Private room,98,2,21,2.1,0
Brooklyn,Entire home/apt,195,4,7,0.23,1
Brooklyn,Private room,35,1,1,1.0,0
Brooklyn,Entire home/apt,120,4,19,0.85,1
Brooklyn,Private room,45,1,7,0.21,0
Brooklyn,Private room,99,2,6,0.27,0
Brooklyn,Private room,100,10,0,0.0,0
Brooklyn,Entire home/apt,145,3,3,0.06,1
Brooklyn,Entire home/apt,300,1,9,1.44,1
Brooklyn,Private room,58,2,0,0.0,0
Brooklyn,Entire home/apt,129,2,5,0.36,1
Manhattan,Private room,60,5,66,0.87,0
Manhattan,Entire home/apt,129,2,0,0.0,1
Brooklyn,Private room,99,2,50,1.92,0
Brooklyn,Entire home/apt,165,2,21,3.73,1
Brooklyn,Private room,149,2,1,0.68,0
Brooklyn,Private room,72,1,360,6.22,0
Manhattan,Entire home/apt,275,2,125,3.44,1
Manhattan,Entire home/apt,175,2,85,3.43,1
Queens,Private room,75,1,0,0.0,0
Manhattan,Entire home/apt,276,3,12,2.42,1
Manhattan,Entire home/apt,120,6,5,0.09,1
Brooklyn,Private room,35,7,12,3.1,0
Brooklyn,Private room,50,2,0,0.0,0
Queens,Entire home/apt,150,2,20,0.61,1
Bronx,Entire home/apt,100,2,0,0.0,1
Brooklyn,Entire home/apt,89,2,14,1.48,1
Brooklyn,Private room,85,4,1,0.1,0
Manhattan,Private room,85,1,2,0.06,0
Manhattan,Private room,150,3,1,1.0,0
Manhattan,Entire home/apt,300,1,5,0.06,1
Brooklyn,Entire home/apt,229,3,22,0.46,1
Brooklyn,Entire home/apt,150,3,1,1.0,1
Brooklyn,Entire home/apt,109,3,6,0.31,1
Brooklyn,Private room,138,1,75,4.59,0
Brooklyn,Entire home/apt,99,3,88,2.19,1
Brooklyn,Entire home/apt,65,2,14,1.03,1
Manhattan,Private room,115,4,0,0.0,0
Staten Island,Private room,49,1,17,0.53,0
Manhattan,Entire home/apt,250,2,0,0.0,1
Brooklyn,Entire home/apt,199,2,116,3.78,1
Manhattan,Entire home/apt,150,2,3,0.16,1
Queens,Private room,70,5,43,3.61,0
Brooklyn,Entire home/apt,249,3,10,0.65,1
Bronx,Entire home/apt,125,2,41,0.81,1
Brooklyn,Private room,120,1,96,3.9,0
Manhattan,Private room,45,1,1,0.16,0
Manhattan,Entire home/apt,155,6,17,0.2,1
Manhattan,Private room,170,2,183,2.19,0
Manhattan,Entire home/apt,129,3,6,0.14,1
Manhattan,Entire home/apt,120,3,133,2.39,1
Brooklyn,Entire home/apt,150,1,1,0.02,1
Manhattan,Private room,90,2,55,4.61,0
Brooklyn,Private room,75,2,0,0.0,0
Brooklyn,Private room,50,3,3,0.07,0
Brooklyn,Private room,35,1,1,0.03,0
Queens,Private room,60,1,38,2.68,0
Manhattan,Entire home/apt,200,1,7,0.1,1
Brooklyn,Private room,90,2,0,0.0,0
Brooklyn,Private room,60,2,97,2.13,0
Brooklyn,Private room,60,1,0,0.0,0
Bronx,Entire home/apt,288,2,0,0.0,1
Bronx,Private room,53,1,321,5.46,0
Manhattan,Private room,45,5,0,0.0,0
Manhattan,Entire home/apt,175,3,0,0.0,1
Manhattan,Private room,106,1,1,0.02,0
Brooklyn,Private room,55,7,0,0.0,0
Manhattan,Private room,55,5,2,0.14,0
Brooklyn,Private room,60,2,18,0.46,0
Manhattan,Entire home/apt,180,6,38,2.68,1
Manhattan,Private room,75,2,1,0.02,0
Manhattan,Entire home/apt,120,5,5,0.13,1
Manhattan,Entire home/apt,265,3,26,0.32,1
Queens,Entire home/apt,110,9,11,0.16,1
Queens,Private room,48,2,33,0.92,0
Manhattan,Private room,77,1,15,3.36,0
Brooklyn,Private room,75,1,24,0.69,0
Manhattan,Entire home/apt,100,1,0,0.0,1
Brooklyn,Private room,250,3,14,0.13,0
Manhattan,Entire home/apt,83,3,31,0.73,1
Brooklyn,Private room,80,1,4,1.79,0
Bronx,Private room,50,2,15,0.17,0
Brooklyn,Private room,62,1,73,1.58,0
Brooklyn,Entire home/apt,110,2,50,1.15,1
Brooklyn,Private room,48,2,58,1.34,0
Brooklyn,Entire home/apt,100,5,54,1.69,1
Queens,Entire home/apt,45,4,0,0.0,1
Manhattan,Shared room,49,3,168,4.6,2
Queens,Entire home/apt,89,3,54,1.26,1
Bronx,Entire home/apt,99,7,1,0.06,1
Manhattan,Private room,60,1,35,2.34,0
Brooklyn,Entire home/apt,200,2,10,4.23,1
Queens,Entire home/apt,150,1,29,3.32,1
Queens,Entire home/apt,100,1,45,5.31,1
Brooklyn,Private room,85,1,29,5.65,0
Manhattan,Entire home/apt,210,3,138,5.73,1
Queens,Entire home/apt,95,2,6,3.46,1
Brooklyn,Entire home/apt,65,2,20,3.57,1
Manhattan,Entire home/apt,215,1,0,0.0,1
Brooklyn,Shared room,50,1,0,0.0,2
Queens,Entire home/apt,90,1,26,0.9,1
Queens,Private room,120,2,4,0.62,0
Queens,Private room,50,3,30,1.28,0
Manhattan,Entire home/apt,195,1,112,2.38,1
Manhattan,Private room,270,1,0,0.0,0
Manhattan,Entire home/apt,110,7,1,0.05,1
Manhattan,Private room,59,5,26,0.61,0
Brooklyn,Entire home/apt,71,7,10,0.51,1
Queens,Entire home/apt,99,1,1,1.0,1
Manhattan,Entire home/apt,135,4,3,0.19,1
Manhattan,Private room,95,1,3,0.16,0
Manhattan,Entire home/apt,149,2,82,1.43,1
Queens,Private room,75,1,50,1.59,0
Manhattan,Entire home/apt,69,2,2,0.07,1
Queens,Private room,52,1,4,0.09,0
Brooklyn,Entire home/apt,83,1,35,2.91,1
Brooklyn,Entire home/apt,75,1,2,0.05,1
Brooklyn,Private room,52,4,1,1.0,0
Brooklyn,Entire home/apt,140,1,0,0.0,1
Queens,Private room,54,1,73,2.89,0
Brooklyn,Entire home/apt,99,2,7,0.38,1
Queens,Entire home/apt,103,1,126,3.2,1
Bronx,Entire home/apt,280,2,32,3.09,1
Brooklyn,Private room,40,7,1,0.05,0
Queens,Private room,79,7,36,1.64,0
Brooklyn,Private room,50,4,67,2.89,0
Brooklyn,Private room,60,3,12,0.51,0
Brooklyn,Private room,65,1,130,5.25,0
Manhattan,Private room,60,1,0,0.0,0
Manhattan,Private room,96,1,0,0.0,0
Queens,Entire home/apt,248,2,2,1.3,1
Brooklyn,Entire home/apt,159,4,50,2.57,1
Brooklyn,Entire home/apt,285,2,37,0.65,1
Brooklyn,Entire home/apt,112,4,138,2.21,1
Queens,Private room,45,2,6,1.54,0
Manhattan,Private room,123,1,7,4.47,0
Queens,Private room,45,1,2,0.09,0
Manhattan,Private room,100,2,14,0.3,0
Brooklyn,Entire home/apt,165,4,123,3.08,1
Manhattan,Entire home/apt,199,3,17,0.65,1
Manhattan,Entire home/apt,229,10,9,0.27,1
Manhattan,Private room,78,1,38,1.3,0
Manhattan,Entire home/apt,215,1,0,0.0,1
Manhattan,Private room,45,7,3,0.15,0
Manhattan,Private room,90,1,5,0.1,0
Brooklyn,Private room,57,2,23,5.11,0
Brooklyn,Private room,54,1,90,3.72,0
Brooklyn,Private room,70,2,29,1.71,0
Brooklyn,Private room,65,1,0,0.0,0
Brooklyn,Entire home/apt,235,2,76,3.64,1
Brooklyn,Private room,65,3,1,0.05,0
Manhattan,Entire home/apt,129,5,0,0.0,1
Manhattan,Entire home/apt,175,1,0,0.0,1
Brooklyn,Private room,60,1,0,0.0,0
Manhattan,Entire home/apt,90,2,3,0.17,1
Manhattan,Private room,150,2,0,0.0,0
Queens,Private room,60,7,11,0.22,0
Brooklyn,Private room,65,1,43,3.82,0
Bronx,Entire home/apt,115,2,100,4.76,1
Brooklyn,Private room,75,1,22,9.17,0
Brooklyn,Private room,71,5,19,1.29,0
Bronx,Private room,79,3,0,0.0,0
Queens,Entire home/apt,100,2,91,3.08,1
Bronx,Private room,42,4,22,1.18,0
Brooklyn,Private room,50,5,3,0.08,0
Brooklyn,Entire home/apt,115,1,75,2.0,1
Brooklyn,Shared room,175,1,7,0.1,2
Brooklyn,Private room,65,1,9,0.35,0
Brooklyn,Private room,44,2,3,0.47,0
Manhattan,Private room,115,3,3,0.04,0
Manhattan,Private room,68,3,1,1.0,0
Brooklyn,Entire home/apt,90,2,4,1.85,1
Queens,Entire home/apt,100,1,197,5.81,1
Manhattan,Entire home/apt,99,6,15,0.24,1
Queens,Entire home/apt,298,6,30,1.34,1
Brooklyn,Private room,79,4,0,0.0,0
Manhattan,Entire home/apt,100,3,0,0.0,1
Manhattan,Private room,70,1,3,0.08,0
Brooklyn,Entire home/apt,250,3,16,0.27,1
Manhattan,Entire home/apt,249,3,85,1.59,1
Manhattan,Private room,100,1,18,0.38,0
Brooklyn,Private room,38,4,1,0.05,0
Queens,Entire home/apt,80,4,5,0.21,1
Brooklyn,Entire home/apt,80,2,8,2.12,1
Manhattan,Shared room,75,1,30,2.92,2
Manhattan,Entire home/apt,203,2,0,0.0,1
Manhattan,Private room,80,5,0,0.0,0
Brooklyn,Entire home/apt,300,2,13,0.24,1
Manhattan,Entire home/apt,300,2,0,0.0,1
Manhattan,Private room,40,2,59,1.9,0
Manhattan,Private room,235,1,2,0.04,0
Manhattan,Entire home/apt,250,1,0,0.0,1
Brooklyn,Entire home/apt,157,3,70,3.06,1
Brooklyn,Private room,90,1,11,5.59,0
Brooklyn,Private room,56,5,1,0.13,0
Manhattan,Entire home/apt,145,2,146,1.94,1
Manhattan,Entire home/apt,150,2,2,2.0,1
Brooklyn,Entire home/apt,100,3,4,1.04,1
Brooklyn,Entire home/apt,89,3,18,3.03,1
Manhattan,Entire home/apt,255,2,6,2.57,1
Queens,Entire home/apt,199,5,2,1.2,1
Manhattan,Entire home/apt,85,1,2,0.12,1
Manhattan,Entire home/apt,250,5,7,2.44,1
Brooklyn,Private room,100,1,0,0.0,0
Brooklyn,Entire home/apt,250,2,3,0.32,1
Brooklyn,Private room,80,1,3,0.06,0
Brooklyn,Private room,57,2,2,0.32,0
Queens,Private room,100,1,1,0.03,0
Queens,Entire home/apt,229,1,22,0.8,1
Manhattan,Private room,170,5,22,0.61,0
Queens,Entire home/apt,69,4,0,0.0,1
Brooklyn,Entire home/apt,185,1,49,1.34,1
Manhattan,Private room,80,3,72,1.79,0
Brooklyn,Private room,57,5,23,0.84,0
Manhattan,Private room,39,4,0,0.0,0
Brooklyn,Entire home/apt,136,4,4,0.15,1
Brooklyn,Private room,99,1,21,0.5,0
Manhattan,Entire home/apt,149,2,7,2.63,1
Manhattan,Private room,50,3,5,0.22,0
Brooklyn,Entire home/apt,185,7,10,0.87,1
Brooklyn,Private room,38,7,0,0.0,0
Brooklyn,Private room,40,4,3,0.07,0
Brooklyn,Private room,45,6,30,2.06,0
Manhattan,Entire home/apt,186,10,7,0.54,1
Manhattan,Private room,100,1,0,0.0,0
Manhattan,Entire home/apt,150,1,44,0.91,1
Queens,Private room,49,1,7,0.18,0
Manhattan,Entire home/apt,150,5,1,0.05,1
Brooklyn,Private room,89,1,8,0.61,0
Brooklyn,Entire home/apt,104,2,15,0.39,1
Brooklyn,Private room,41,2,8,0.24,0
Manhattan,Private room,90,1,58,2.68,0
Manhattan,Private room,38,5,11,0.31,0
Brooklyn,Private room,70,1,67,7.18,0
Brooklyn,Private room,40,6,3,0.82,0
Brooklyn,Entire home/apt,125,3,2,0.05,1
Manhattan,Private room,100,2,2,0.15,0
Manhattan,Entire home/apt,150,1,4,4.0,1
Brooklyn,Private room,39,7,6,0.17,0
Manhattan,Private room,300,1,2,0.13,0
Manhattan,Private room,120,2,1,0.06,0
Brooklyn,Private room,46,1,0,0.0,0
Bronx,Private room,65,3,0,0.0,0
Manhattan,Entire home/apt,125,4,1,0.08,1
Brooklyn,Private room,45,1,5,0.27,0
Manhattan,Private room,70,1,36,1.65,0
Queens,Entire home/apt,220,2,58,7.53,1
Brooklyn,Private room,70,7,1,0.05,0
Manhattan,Entire home/apt,129,3,5,0.11,1
Manhattan,Private room,70,1,37,1.1,0
Brooklyn,Entire home/apt,225,3,36,1.01,1
Queens,Entire home/apt,99,3,9,2.93,1
Brooklyn,Private room,59,1,90,4.26,0
Manhattan,Entire home/apt,200,1,0,0.0,1
Bronx,Entire home/apt,74,2,37,2.63,1
Queens,Private room,95,3,56,1.71,0
Brooklyn,Private room,74,1,241,5.42,0
Manhattan,Entire home/apt,250,7,0,0.0,1
Brooklyn,Private room,110,2,71,0.61,0
Brooklyn,Private room,150,1,0,0.0,0
Manhattan,Entire home/apt,325,3,6,0.18,1
Brooklyn,Entire home/apt,88,1,39,3.77,1
Manhattan,Private room,149,2,121,2.06,0
Brooklyn,Private room,55,1,15,5.92,0
Brooklyn,Entire home/apt,100,1,26,4.67,1
Manhattan,Entire home/apt,200,1,1,0.02,1
Brooklyn,Entire home/apt,125,1,0,0.0,1
Brooklyn,Private room,65,5,20,0.78,0
Manhattan,Private room,140,1,0,0.0,0
Manhattan,Private room,95,4,101,2.94,0
Brooklyn,Private room,90,2,2,0.02,0
Brooklyn,Private room,60,2,1,0.22,0
Brooklyn,Private room,275,2,17,0.92,0
Brooklyn,Shared room,78,1,46,1.38,2
Manhattan,Private room,75,1,9,5.19,0
Brooklyn,Private room,33,1,52,0.87,0
Brooklyn,Entire home/apt,100,3,41,2.07,1
Manhattan,Entire home/apt,115,7,11,0.3,1
Brooklyn,Private room,56,1,69,2.35,0
Queens,Private room,50,2,0,0.0,0
Manhattan,Entire home/apt,150,5,0,0.0,1
Brooklyn,Private room,90,1,5,1.61,0
Manhattan,Entire home/apt,85,4,0,0.0,1
Manhattan,Private room,80,1,134,4.36,0
Manhattan,Private room,90,1,295,4.99,0
Brooklyn,Entire home/apt,110,2,4,0.12,1
Brooklyn,Entire home/apt,150,3,11,0.14,1
Manhattan,Private room,55,6,2,0.08,0
Brooklyn,Entire home/apt,85,1,43,7.87,1
Queens,Private room,85,1,31,2.81,0
Staten Island,Entire home/apt,57,1,0,0.0,1
Queens,Private room,60,1,24,1.5,0
Manhattan,Entire home/apt,135,3,49,2.71,1
Brooklyn,Private room,80,2,3,0.63,0
Manhattan,Shared room,75,1,0,0.0,2
Manhattan,Shared room,85,3,38,0.56,2
Brooklyn,Private room,89,2,2,0.05,0
Brooklyn,Entire home/apt,130,2,29,0.35,1
Manhattan,Entire home/apt,150,7,0,0.0,1
Queens,Entire home/apt,99,4,17,0.44,1
Brooklyn,Entire home/apt,195,7,0,0.0,1
Manhattan,Private room,140,6,1,0.13,0
Manhattan,Entire home/apt,199,2,0,0.0,1
Brooklyn,Private room,72,1,4,0.1,0
Manhattan,Entire home/apt,120,1,4,0.1,1
Staten Island,Private room,34,4,39,1.39,0
Brooklyn,Entire home/apt,129,3,42,4.81,1
Manhattan,Private room,85,1,146,3.62,0
Brooklyn,Private room,65,1,10,0.45,0
Brooklyn,Entire home/apt,120,3,2,0.35,1
Manhattan,Entire home/apt,250,5,0,0.0,1
Brooklyn,Private room,60,3,0,0.0,0
Queens,Entire home/apt,90,1,146,6.87,1
Manhattan,Private room,129,1,18,2.4,0
Queens,Shared room,38,1,224,7.96,2
Manhattan,Private room,90,2,0,0.0,0
Brooklyn,Entire home/apt,120,1,187,8.75,1
Brooklyn,Private room,55,1,1,0.02,0
Brooklyn,Entire home/apt,99,4,0,0.0,1
Queens,Entire home/apt,150,1,1,0.02,1
Brooklyn,Private room,99,5,4,0.17,0
Brooklyn,Entire home/apt,50,2,4,0.12,1
Brooklyn,Private room,79,5,3,0.07,0
Brooklyn,Entire home/apt,175,1,16,3.97,1
Brooklyn,Private room,85,3,33,2.47,0
Manhattan,Private room,37,7,1,0.04,0
Brooklyn,Entire home/apt,89,1,8,5.58,1
Manhattan,Entire home/apt,205,2,8,0.16,1
Manhattan,Entire home/apt,140,3,2,0.04,1
Manhattan,Entire home/apt,275,3,2,0.7,1
Bronx,Entire home/apt,145,2,76,3.04,1
Brooklyn,Entire home/apt,140,7,0,0.0,1
Brooklyn,Private room,75,1,0,0.0,0
Brooklyn,Entire home/apt,250,4,4,0.38,1
Brooklyn,Entire home/apt,200,2,77,2.97,1
Brooklyn,Entire home/apt,100,3,308,4.11,1
Manhattan,Entire home/apt,80,3,16,0.34,1
Manhattan,Entire home/apt,195,3,17,0.43,1
Manhattan,Entire home/apt,148,2,8,2.82,1
Brooklyn,Entire home/apt,150,6,2,0.08,1
Brooklyn,Entire home/apt,100,1,4,2.26,1
Brooklyn,Entire home/apt,100,5,1,1.0,1
Brooklyn,Private room,120,4,0,0.0,0
Brooklyn,Private room,100,1,0,0.0,0
Brooklyn,Entire home/apt,88,2,14,0.21,1
Brooklyn,Private room,95,2,2,0.19,0
Brooklyn,Entire home/apt,77,2,136,3.0,1
Manhattan,Entire home/apt,160,1,5,0.23,1
Manhattan,Private room,110,2,7,1.28,0
Brooklyn,Private room,55,1,1,0.3,0
Manhattan,Private room,77,7,1,0.07,0
Manhattan,Private room,80,1,9,5.51,0
Brooklyn,Private room,60,2,107,2.26,0
Brooklyn,Entire home/apt,140,1,141,2.41,1
Manhattan,Private room,50,3,0,0.0,0
Manhattan,Entire home/apt,235,2,20,0.43,1
Queens,Private room,95,2,0,0.0,0
Manhattan,Private room,45,9,1,0.03,0
Brooklyn,Private room,65,1,1,0.79,0
Manhattan,Entire home/apt,110,7,32,1.17,1
Brooklyn,Private room,250,1,25,0.63,0
Manhattan,Entire home/apt,110,2,9,0.26,1
Manhattan,Private room,75,3,6,0.17,0
Queens,Private room,40,1,10,2.52,0
Manhattan,Private room,85,1,209,7.18,0
Manhattan,Private room,150,10,36,0.48,0
Queens,Private room,35,5,0,0.0,0
Manhattan,Entire home/apt,180,7,5,0.39,1
Brooklyn,Entire home/apt,89,2,1,1.0,1
Brooklyn,Entire home/apt,150,3,27,1.22,1
Brooklyn,Private room,80,1,31,1.67,0
Brooklyn,Entire home/apt,120,4,3,0.47,1
Brooklyn,Entire home/apt,200,2,1,0.16,1
Manhattan,Entire home/apt,200,2,22,0.64,1
Manhattan,Entire home/apt,115,3,1,0.02,1
Brooklyn,Entire home/apt,110,1,1,0.03,1
Manhattan,Private room,125,1,0,0.0,0
Brooklyn,Entire home/apt,120,3,13,0.18,1
Brooklyn,Private room,65,7,38,1.08,0
Brooklyn,Private room,59,5,0,0.0,0
Manhattan,Entire home/apt,150,1,5,0.67,1
Queens,Entire home/apt,80,1,214,10.86,1
Manhattan,Private room,75,2,9,3.75,0
Brooklyn,Entire home/apt,175,3,38,1.93,1
Manhattan,Entire home/apt,150,3,0,0.0,1
Brooklyn,Private room,49,7,0,0.0,0
Bronx,Entire home/apt,75,2,2,2.0,1
Brooklyn,Entire home/apt,69,1,0,0.0,1
Brooklyn,Entire home/apt,139,4,152,3.26,1
Brooklyn,Entire home/apt,155,2,6,0.27,1
Queens,Entire home/apt,100,7,4,0.17,1
Brooklyn,Private room,50,3,2,0.15,0
Manhattan,Entire home/apt,200,2,20,2.02,1
Queens,Private room,69,2,2,0.07,0
Bronx,Private room,60,1,8,0.22,0
Manhattan,Private room,50,4,1,0.03,0
Brooklyn,Private room,100,3,2,1.33,0
Manhattan,Private room,100,2,0,0.0,0
Manhattan,Private room,100,1,0,0.0,0
Manhattan,Private room,120,3,0,0.0,0
Brooklyn,Private room,160,5,0,0.0,0
Queens,Private room,35,1,35,3.87,0
Brooklyn,Private room,30,7,0,0.0,0
Brooklyn,Entire home/apt,95,4,92,2.56,1
Queens,Shared room,30,1,0,0.0,2
Brooklyn,Entire home/apt,250,2,109,3.22,1
Brooklyn,Entire home/apt,105,2,61,2.72,1
Brooklyn,Private room,130,3,1,0.04,0
Manhattan,Entire home/apt,265,3,6,0.1,1
Brooklyn,Entire home/apt,219,5,2,0.03,1
Brooklyn,Entire home/apt,145,3,41,1.0,1
Manhattan,Entire home/apt,196,2,6,1.48,1
Brooklyn,Entire home/apt,80,1,104,2.86,1
Manhattan,Entire home/apt,200,4,2,0.1,1
Brooklyn,Entire home/apt,94,1,39,0.98,1
Brooklyn,Private room,38,3,76,1.3,0
Manhattan,Private room,90,2,38,3.36,0
Brooklyn,Private room,85,3,99,3.09,0
Queens,Private room,66,3,9,0.94,0
Brooklyn,Private room,319,1,52,2.48,0
Brooklyn,Private room,100,2,49,0.9,0
Brooklyn,Entire home/apt,150,2,3,0.12,1
Manhattan,Entire home/apt,220,3,36,2.11,1
Manhattan,Private room,89,4,6,0.14,0
Brooklyn,Entire home/apt,275,4,6,0.26,1
Queens,Entire home/apt,250,1,1,1.0,1
Brooklyn,Private room,75,1,27,1.32,0
Brooklyn,Private room,38,2,0,0.0,0
